lat,lon,validdate,t_2m:C,precip_1h:mm
2.5,-78.5,2024-10-13 00:00:00+00:00,25.2,0.0
2.5,-78.5,2024-10-13 12:00:00+00:00,24.7,1.58
2.5,-78.5,2024-10-14 00:00:00+00:00,25.8,0.0
2.5,-78.5,2024-10-14 12:00:00+00:00,24.0,2.61
2.5,-78.5,2024-10-15 00:00:00+00:00,26.1,0.0
2.5,-78.0,2024-10-05 00:00:00+00:00,23.6,0.45
2.5,-78.0,2024-10-05 12:00:00+00:00,23.0,0.0
2.5,-78.0,2024-10-06 00:00:00+00:00,23.9,0.15
2.5,-78.0,2024-10-06 12:00:00+00:00,22.5,1.4
2.5,-78.0,2024-10-07 00:00:00+00:00,24.8,0.13
2.5,-78.0,2024-10-07 12:00:00+00:00,23.5,0.0
2.5,-78.0,2024-10-08 00:00:00+00:00,24.1,0.53
2.5,-78.0,2024-10-08 12:00:00+00:00,22.6,1.76
2.5,-78.0,2024-10-09 00:00:00+00:00,24.7,0.0
2.5,-78.0,2024-10-09 12:00:00+00:00,23.9,0.0
2.5,-78.0,2024-10-10 00:00:00+00:00,24.6,0.22
2.5,-78.0,2024-10-10 12:00:00+00:00,22.6,7.09
2.5,-78.0,2024-10-11 00:00:00+00:00,24.8,0.2
2.5,-78.0,2024-10-11 12:00:00+00:00,23.1,0.23
2.5,-78.0,2024-10-12 00:00:00+00:00,24.2,1.58
2.5,-78.0,2024-10-12 12:00:00+00:00,23.1,7.5
2.5,-78.0,2024-10-13 00:00:00+00:00,25.0,0.21
2.5,-78.0,2024-10-13 12:00:00+00:00,23.7,0.54
2.5,-78.0,2024-10-14 00:00:00+00:00,24.9,0.19
2.5,-78.0,2024-10-14 12:00:00+00:00,23.1,0.44
2.5,-78.0,2024-10-15 00:00:00+00:00,24.5,0.48
2.5,-77.5,2024-10-05 00:00:00+00:00,23.2,10.7
2.5,-77.5,2024-10-05 12:00:00+00:00,23.2,0.1
2.5,-77.5,2024-10-06 00:00:00+00:00,22.9,3.48
2.5,-77.5,2024-10-06 12:00:00+00:00,22.8,0.47
2.5,-77.5,2024-10-07 00:00:00+00:00,23.1,0.35
2.5,-77.5,2024-10-07 12:00:00+00:00,22.4,0.0
2.5,-77.5,2024-10-08 00:00:00+00:00,22.5,5.75
2.5,-77.5,2024-10-08 12:00:00+00:00,22.4,5.51
2.5,-77.5,2024-10-09 00:00:00+00:00,22.8,0.66
2.5,-77.5,2024-10-09 12:00:00+00:00,22.2,0.0
2.5,-77.5,2024-10-10 00:00:00+00:00,23.1,3.0
2.5,-77.5,2024-10-10 12:00:00+00:00,22.1,1.7
2.5,-77.5,2024-10-11 00:00:00+00:00,23.3,0.42
2.5,-77.5,2024-10-11 12:00:00+00:00,22.1,0.43
